county,category,taxonomic_group,taxonomic_subgroup,scientific_name,common_name
Albany,Animal,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander
Albany,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog
Albany,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog
Albany,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog
Albany,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt
Albany,Animal,Amphibians,Salamanders,Hemidactylium scutatum,Four-toed Salamander
Albany,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog
Albany,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander
Albany,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander
Albany,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus fowleri,Fowler's Toad
Albany,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander
Albany,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander
Albany,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander
Albany,Animal,Amphibians,Salamanders,Ambystoma tigrinum,Tiger Salamander
Albany,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander
Albany,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad
Albany,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex
Albany,Animal,Amphibians,Frogs and Toads,Scaphiopus holbrookii,Eastern Spadefoot
Albany,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper
Albany,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog
Albany,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog
Albany,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony
Albany,Animal,Animal Assemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anadromous Fish Concentration Area
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Thoracobombus) pensylvanicus,American Bumble Bee
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) terricola,Yellowbanded Bumble Bee
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) affinis,Rusty-patched Bumble Bee
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron
Albany,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Colinus virginianus,Northern Bobwhite
Albany,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher
Albany,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern
Albany,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher
Albany,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee
Albany,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch
Albany,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin
Albany,Animal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Crossbill
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle
Albany,Animal,Birds,Finches and Crossbills,Loxia curvirostra,Red Crossbill
Albany,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch
Albany,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck
Albany,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo
Albany,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo
Albany,Animal,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler
Albany,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay
Albany,Animal,Birds,Crows and Jays,Corvus ossifragus,Fish Crow
Albany,Animal,Birds,Crows and Jays,Corvus corax,Common Raven
Albany,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant
Albany,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow
Albany,Animal,Birds,Creepers,Certhia americana,Brown Creeper
Albany,Animal,Birds,Chickadees and Titmice,Poecile atricapillus,Black-capped Chickadee
Albany,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat
Albany,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler
Albany,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse
Albany,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager
Albany,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Sharp-shinned Hawk
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lineatus,Red-shouldered Hawk
Albany,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Indigo Bunting
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-winged Hawk
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Cathartes aura,Turkey Vulture
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier
Albany,Animal,Birds,Cardinals and Buntings,Cardinalis cardinalis,Northern Cardinal
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel
Albany,Animal,Birds,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey
Albany,Animal,Birds,Blackbirds and Orioles,Quiscalus quiscula,Common Grackle
Albany,Animal,Birds,Hummingbirds and Swifts,Archilochus colubris,Ruby-throated Hummingbird
Albany,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift
Albany,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher
Albany,Animal,Birds,Kinglets,Regulus calendula,Ruby-crowned Kinglet
Albany,Animal,Birds,Kinglets,Regulus satrapa,Golden-crowned Kinglet
Albany,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush
Albany,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird
Albany,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird
Albany,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher
Albany,Animal,Birds,Nightbirds,Antrostomus vociferus,Whip-poor-will
Albany,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch
Albany,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch
Albany,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow
Albany,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird
Albany,Animal,Birds,Owls,Aegolius acadicus,Northern Saw-whet Owl
Albany,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole
Albany,Animal,Birds,Owls,Asio otus,Long-eared Owl
Albany,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl
Albany,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl
Albany,Animal,Birds,Owls,Strix varia,Barred Owl
Albany,Animal,Birds,Owls,Tyto alba,Barn Owl
Albany,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon
Albany,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove
Albany,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole
Albany,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker
Albany,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker
Albany,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink
Albany,Animal,Birds,"Rails, Coots and Cranes",Gallinula galeata,Common Moorhen
Albany,Animal,Birds,"Rails, Coots and Cranes",Porzana carolina,Sora
Albany,Animal,Birds,"Rails, Coots and Cranes",Rallus elegans,King Rail
Albany,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail
Albany,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow
Albany,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow
Albany,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco
Albany,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow
Albany,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow
Albany,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow
Albany,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee
Albany,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow
Albany,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow
Albany,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler
Albany,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler
Albany,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush
Albany,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush
Albany,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler
Albany,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird
Albany,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga cerulea,Cerulean Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga citrina,Hooded Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler
Albany,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler
Albany,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler
Albany,Animal,Birds,Wood-Warblers,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler
Albany,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler
Albany,Animal,Birds,Wood-Warblers,Vermivora cyanoptera x chrysoptera,Brewster's Warbler
Albany,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren
Albany,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren
Albany,Animal,Birds,Wrens,Thryothorus ludovicianus,Carolina Wren
Albany,Animal,Birds,Wrens,Troglodytes aedon,House Wren
Albany,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren
Albany,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker
Albany,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker
Albany,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker
Albany,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker
Albany,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing
Albany,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo
Albany,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo
Albany,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo
Albany,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo
Albany,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin
Albany,Animal,Birds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blackbird
Albany,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart
Albany,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker
Albany,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern
Albany,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow
Albany,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow
Albany,Animal,Birds,Swallows,Riparia riparia,Bank Swallow
Albany,Animal,Birds,Swallows,Progne subis,Purple Martin
Albany,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow
Albany,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow
Albany,Animal,Birds,Starlings,Sturnus vulgaris,European Starling
Albany,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow
Albany,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Actitis macularius,Spotted Sandpiper
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Phasianus colchicus,Ring-necked Pheasant
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopavo,Wild Turkey
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron
Albany,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe
Albany,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron
Albany,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird
Albany,Animal,Birds,Flycatchers,Sayornis phoebe,Eastern Phoebe
Albany,Animal,Butterflies and Moths,Moths,Chytonix sensilis,Sensitive Chytonix
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis martialis,Mottled Duskywing
Albany,Animal,Butterflies and Moths,Moths,Zanclognatha martha,Pine Barrens Zanclognatha
Albany,Animal,Butterflies and Moths,Moths,Cleora projecta,Projecta Gray
Albany,Animal,Butterflies and Moths,Moths,Zale curema,Black-eyed Zale
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Callophrys irus,Frosted Elfin
Albany,Animal,Butterflies and Moths,Moths,Erastria coloraria,Broad-lined Catopyrrha
Albany,Animal,Butterflies and Moths,Moths,Virbia aurantiaca,Orange Holomelina
Albany,Animal,Butterflies and Moths,Moths,Macrochilo bivittata,Two-striped Cord Grass Moth
Albany,Animal,Butterflies and Moths,Moths,Renia nemoralis,Chocolate Renia
Albany,Animal,Butterflies and Moths,Moths,Chaetaglaea cerata,Waxed Sallow
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Atrytonopsis hianna,Dusted Skipper
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis persius persius,Persius Duskywing
Albany,Animal,Butterflies and Moths,Moths,Acronicta albarufa,Barrens Dagger Moth
Albany,Animal,Butterflies and Moths,Moths,Catocala pretiosa pretiosa,Precious Underwing
Albany,Animal,Butterflies and Moths,Moths,Catocala umbrosa,An Underwing Moth
Albany,Animal,Butterflies and Moths,Moths,Cerma cora,Bird Dropping Moth
Albany,Animal,Butterflies and Moths,Moths,Fagitana littera,Marsh Fern Moth
Albany,Animal,Butterflies and Moths,Moths,Hemileuca maia maia,Inland Barrens Buckmoth
Albany,Animal,Butterflies and Moths,Moths,Papaipema sp. 2 nr. pterisii,Ostrich Fern Borer Moth
Albany,Animal,Butterflies and Moths,Moths,Sympistis dentata,Toothed Apharetra
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Callophrys henrici,Henry's Elfin
Albany,Animal,Butterflies and Moths,Moths,Speranza exonerata,Barrens Itame
Albany,Animal,Butterflies and Moths,Moths,Anisota senatoria,Orange-striped Oakworm Moth
Albany,Animal,Butterflies and Moths,Moths,Bagisara rectifascia,Straight Lined Mallow Moth
Albany,Animal,Butterflies and Moths,Moths,Paectes abrostolella,A Notodontid Moth
Albany,Animal,Butterflies and Moths,Moths,Dargida rubripennis,The Pink Streak
Albany,Animal,Butterflies and Moths,Moths,Zale lunifera,Pine Barrens Zale
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Phyciodes batesii batesii,Tawny Crescent
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Satyrium edwardsii,Edwards' Hairstreak
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Williamsonia lintneri,Ringed Boghaunter
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Stylurus plagiatus,Russet-tipped Clubtail
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Neurocordulia obsoleta,Umber Shadowdragon
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Anax longipes,Comet Darner
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Somatochlora kennedyi,Kennedy's Emerald
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Gomphus vastus,Cobra Clubtail
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Stylurus amnicola,Riverine Clubtail
Albany,Animal,Fish,Sturgeons and Paddlefish,Acipenser oxyrinchus,Atlantic Sturgeon
Albany,Animal,Fish,"Minnows, Shiners, Suckers",Notropis bifrenatus,Bridle Shiner
Albany,Animal,Fish,"Minnows, Shiners, Suckers",Couesius plumbeus,Lake Chub
Albany,Animal,Fish,Sturgeons and Paddlefish,Acipenser brevirostrum,Shortnose Sturgeon
Albany,Animal,Mammals,Bats,Myotis sodalis,Indiana Bat
Albany,Animal,Mammals,Rodents,Neotoma magister,Allegheny Woodrat
Albany,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat
Albany,Animal,Mammals,Bats,Myotis leibii,Eastern Small-footed Myotis
Albany,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat
Albany,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat
Albany,Animal,Mussels and Clams,Freshwater Mussels,Lampsilis cariosa,Yellow Lampmussel
Albany,Animal,Mussels and Clams,Freshwater Mussels,Leptodea ochracea,Tidewater Mucket
Albany,Animal,Mussels and Clams,Freshwater Mussels,Ligumia nasuta,Eastern Pondmussel
Albany,Animal,Mussels and Clams,Freshwater Mussels,Anodonta implicata,Alewife Floater
Albany,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gartersnake
Albany,Animal,Reptiles,Turtles,Clemmys guttata,Spotted Turtle
Albany,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle
Albany,Animal,Reptiles,Turtles,Chelydra serpentina,Snapping Turtle
Albany,Animal,Reptiles,Turtles,Apalone spinifera,Spiny Softshell
Albany,Animal,Reptiles,Snakes,Agkistrodon contortrix,Copperhead
Albany,Animal,Reptiles,Snakes,Carphophis amoenus,Eastern Wormsnake
Albany,Animal,Reptiles,Snakes,Coluber constrictor,Racer
Albany,Animal,Reptiles,Snakes,Crotalus horridus,Timber Rattlesnake
Albany,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake
Albany,Animal,Reptiles,Snakes,Heterodon platirhinos,Eastern Hog-nosed Snake
Albany,Animal,Reptiles,Snakes,Lampropeltis triangulum,Milksnake
Albany,Animal,Reptiles,Snakes,Nerodia sipedon,Northern Watersnake
Albany,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake
Albany,Animal,Reptiles,Snakes,Pantherophis spiloides,Eastern Ratsnake
Albany,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake
Albany,Animal,Reptiles,Snakes,Storeria occipitomaculata,Red-bellied Snake
Albany,Animal,Reptiles,Snakes,Thamnophis sauritus,Eastern Ribbonsnake
Albany,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle
Albany,Animal,Reptiles,Turtles,Terrapene carolina,Eastern Box Turtle
Albany,Animal,Reptiles,Turtles,Sternotherus odoratus,Common Musk Turtle
Albany,Animal,Reptiles,Turtles,Graptemys geographica,Common Map Turtle
Albany,Animal,Reptiles,Turtles,Glyptemys muhlenbergii,Bog Turtle
Albany,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Red maple-hardwood swamp,Red Maple-Hardwood Swamp
Albany,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Silver maple-ash swamp,Silver Maple-Ash Swamp
Albany,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Pine barrens vernal pond,Pine Barrens Vernal Pond
Albany,Natural Community,Tidal Wetlands,Subtidal Wetlands,Tidal river,Tidal River
Albany,Natural Community,Tidal Wetlands,Intertidal Wetlands,Freshwater intertidal mudflats,Freshwater Intertidal Mudflats
Albany,Natural Community,Tidal Wetlands,Intertidal Wetlands,Freshwater tidal marsh,Freshwater Tidal Marsh
Albany,Natural Community,Uplands,Forested Uplands,Hemlock-northern hardwood forest,Hemlock-Northern Hardwood Forest
Albany,Natural Community,Uplands,Forested Uplands,Pitch pine-oak forest,Pitch Pine-Oak Forest
Albany,Natural Community,Uplands,Open Uplands,Calcareous cliff community,Calcareous Cliff Community
Albany,Natural Community,Uplands,Open Uplands,Rocky summit grassland,Rocky Summit Grassland
Albany,Natural Community,Uplands,Open Uplands,Shale cliff and talus community,Shale Cliff and Talus Community
Albany,Natural Community,Uplands,Forested Uplands,Appalachian oak-hickory forest,Appalachian Oak-Hickory Forest
Albany,Natural Community,Uplands,Forested Uplands,Chestnut oak forest,Chestnut Oak Forest
Albany,Natural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forest,Maple-Basswood Rich Mesic Forest
Albany,Natural Community,Uplands,Barrens and Woodlands,Limestone woodland,Limestone Woodland
Albany,Natural Community,Uplands,Barrens and Woodlands,Pitch pine-scrub oak barrens,Pitch Pine-Scrub Oak Barrens
Albany,Natural Community,Uplands,Barrens and Woodlands,Red cedar rocky summit,Red Cedar Rocky Summit
Albany,Plant,Conifers,Conifers,Pinus echinata,Shortleaf Pine
Albany,Plant,Ferns and Fern Allies,Ferns,Pellaea glabella ssp. glabella,Smooth Cliff Brake
Albany,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern
Albany,Plant,Flowering Plants,Sedges,Carex cumulata,Clustered Sedge
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens bidentoides,Delmarva Beggar-ticks
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Lactuca hirsuta,Downy Lettuce
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Petasites frigidus var. palmatus,Sweet Coltsfoot
Albany,Plant,Flowering Plants,Grasses,Cenchrus tribuloides,Dune Sandspur
Albany,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot
Albany,Plant,Flowering Plants,Orchids,Liparis liliifolia,Large Twayblade
Albany,Plant,Flowering Plants,Orchids,Platanthera ciliaris,Orange Fringed Orchid
Albany,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid
Albany,Plant,Flowering Plants,Other Flowering Plants,Agastache nepetoides,Yellow Giant-hyssop
Albany,Plant,Flowering Plants,Other Flowering Plants,Agrimonia parviflora,Swamp Agrimony
Albany,Plant,Flowering Plants,Other Flowering Plants,Agrimonia rostellata,Woodland Agrimony
Albany,Plant,Flowering Plants,Other Flowering Plants,Asclepias verticillata,Whorled Milkweed
Albany,Plant,Flowering Plants,Other Flowering Plants,Cardamine douglassii,Purple Cress
Albany,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet
Albany,Plant,Flowering Plants,Other Flowering Plants,Elatine americana,American Waterwort
Albany,Plant,Flowering Plants,Other Flowering Plants,Eriocaulon parkeri,Estuary Hatpins
Albany,Plant,Flowering Plants,Other Flowering Plants,Geum virginianum,Rough Avens
Albany,Plant,Flowering Plants,Other Flowering Plants,Juglans cinerea,Butternut
Albany,Plant,Flowering Plants,Other Flowering Plants,Limosella australis,Mudwort
Albany,Plant,Flowering Plants,Other Flowering Plants,Linum sulcatum,Yellow Wild Flax
Albany,Plant,Flowering Plants,Other Flowering Plants,Lobelia nuttallii,Nuttall's Lobelia
Albany,Plant,Flowering Plants,Other Flowering Plants,Persicaria careyi,Carey's Smartweed
Albany,Plant,Flowering Plants,Other Flowering Plants,Polygonum erectum,Erect Knotweed
Albany,Plant,Flowering Plants,Other Flowering Plants,Polygonum tenue,Slender Knotweed
Albany,Plant,Flowering Plants,Other Flowering Plants,Sagittaria subulata,Strap-leaf Arrowhead
Albany,Plant,Flowering Plants,Other Flowering Plants,Scheuchzeria palustris,Pod Grass
Albany,Plant,Flowering Plants,Other Flowering Plants,Schwalbea americana,Chaffseed
Albany,Plant,Flowering Plants,Other Flowering Plants,Scutellaria nervosa,Veined Skullcap
Albany,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed
Albany,Plant,Flowering Plants,Other Flowering Plants,Utricularia radiata,Small Floating Bladderwort
Albany,Plant,Flowering Plants,Other Flowering Plants,Valeriana uliginosa,Marsh Valerian
Albany,Plant,Flowering Plants,Other Flowering Plants,Veronica peregrina ssp. xalapensis,Neckweed
Albany,Plant,Flowering Plants,Other Flowering Plants,Viola hirsutula,Southern Wood Violet
Albany,Plant,Flowering Plants,Other Flowering Plants,Viola nephrophylla,Northern Bog Violet
Albany,Plant,Flowering Plants,Sedges,Carex bicknellii,Bicknell's Sedge
