kingdom,phylum,class,order,family,genus,species,commonname
Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog
Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog
Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella
Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella
Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad
Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad
Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog
Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog
Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog
Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad
Animalia,Chordata,Amphibia,Anura,Petropedetidae,Conraua,goliath,Goliath frog
Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad
Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog
Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog
Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape sand frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,California red-legged frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog
Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's spadefoot
Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot
Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's salamander
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander
